,species,lat,lon,elev
19573,n,33.78750002,109.4291551,1267
6080,n,24.03750158,110.1374873,620
6779,n,23.37083502,109.0541557,100
18174,n,23.495835,105.4291615,1535
11823,n,25.12083474,105.1791619,1190
7663,n,31.4125004,107.4291583,623
19365,n,33.03750014,106.9708257,521
1669,n,30.7875005,102.6374993,2955
11331,n,27.91250096,119.6374721,731
58310,n,23.37083502,116.3874773,8
11760,n,28.66250084,107.8041577,1053
15180,n,31.12083378,117.9708081,12
10327,n,28.4958342,116.0124779,19
13627,n,33.9125,112.1791507,716
6954,n,33.7041667,103.8458307,3623
8320,n,28.9125008,120.8874701,15
15397,n,27.62083434,105.0541621,1558
45,n,25.9958346,112.1791507,241
19935,n,31.66250036,114.3874805,130
5378,n,26.12083458,107.7624911,931
6675,n,25.41250136,107.0958255,687
9603,n,26.87083446,105.4708281,1608
1813,n,24.70416814,106.1374937,771
13346,n,31.07916712,108.7624895,875
10718,n,25.41250136,117.1791427,762
2773,n,29.45416738,116.8458099,55
6344,n,27.28750106,113.4291487,92
3217,n,28.7041675,115.5958119,99
13465,n,24.3291682,113.8458147,166
2682,n,26.66250116,103.6374977,2615
3921,n,26.16250124,118.8458067,356
13538,n,31.53750038,117.2208093,11
6648,n,33.32916676,112.3041505,359
18676,n,29.78750066,103.4708313,632
9703,n,25.82916796,110.4291535,618
9160,n,30.9958338,102.9708321,4057
3370,n,30.3708339,118.0958079,289
19085,n,26.87083446,119.8041385,78
1690,n,33.87083334,117.2208093,34
6056,n,33.62083338,118.0124747,18
14866,n,25.32916804,107.5124915,914
2230,n,29.1208341,116.4708105,2
17044,n,32.37083358,102.7208325,4452
10722,n,31.99583364,114.3874805,79
60310,n,29.99583396,105.4708281,357
11714,n,27.20416774,104.8874957,1528
14318,n,31.28750042,110.8874861,907
6364,n,32.32916692,118.5958071,8
15159,n,27.91250096,115.2208125,25
7669,n,28.41250088,114.4708137,456
11033,n,26.53750118,112.5541501,144
8170,n,31.4125004,103.9291639,1943
16391,n,29.78750066,107.4291583,390
7858,n,28.87083414,103.3874981,1600
3736,n,23.0791684,106.0541605,972
13500,n,33.7041667,114.2208141,55
4769,n,23.57916832,114.0958143,77
17984,n,25.62083466,104.9708289,1578
19499,n,26.12083458,114.7208133,356
13880,n,26.32916788,103.9291639,2141
17467,n,25.7875013,105.3458283,1044
17711,n,29.49583404,102.3458331,2933
15752,n,30.62083386,117.8874749,31
9374,n,21.99583524,114.1374809,0
16496,n,30.1625006,103.4708313,612
4109,n,29.91250064,114.7208133,291
3504,n,32.07916696,119.2624727,54
10226,n,27.57916768,119.0541397,920
549,n,27.12083442,106.2624935,1256
870,n,24.91250144,107.8874909,573
1479,n,28.12083426,116.6791435,89
19102,n,25.62083466,103.3874981,2134
6404,n,28.78750082,120.9708033,663
2267,n,32.62083354,114.6791467,48
7808,n,23.16250172,103.7624975,1287
7311,n,23.9125016,112.8458163,138
8197,n,32.91250016,105.8041609,878
7235,n,31.66250036,117.2624759,14
12780,n,31.78750034,107.1374921,605
4535,n,28.7041675,105.0124955,302
2729,n,27.0375011,110.3874869,648
7087,n,29.87083398,116.2624775,8
8855,n,33.87083334,108.0958239,1310
10576,n,26.8291678,107.8458243,813
6250,n,30.66250052,121.1791363,0
7699,n,24.70416814,104.8874957,1117
3374,n,24.5375015,104.5541629,993
2554,n,27.4541677,102.6791659,2422
15986,n,25.28750138,105.3458283,1298
13357,n,33.45416674,102.7624991,3456
3167,n,22.37083518,108.0124907,152
14646,n,27.74583432,111.0541525,487
6166,n,27.4541677,107.7624911,1003
4001,n,33.24583344,113.4291487,160
6268,n,22.78750178,109.0541557,78
5144,n,29.41250072,114.3458139,471
1091,n,31.87083366,106.8874925,423
15058,n,26.12083458,111.8041513,414
6159,n,31.24583376,103.4291647,2318
18145,n,33.16250012,105.3874949,1635
15795,n,29.3291674,102.8458323,1667
11897,n,23.12083506,110.3041537,175
8632,n,26.99583444,110.8874861,371
13594,n,26.28750122,107.6374913,815
4169,n,24.82916812,114.5541469,413
9379,n,32.82916684,110.5124867,398
2762,n,26.49583452,103.5541645,2341
14009,n,26.6208345,105.0958287,1917
2808,n,28.41250088,107.8041577,1139
12053,n,33.2875001,116.6791435,26
6803,n,30.20416726,110.5124867,1540
17573,n,27.57916768,116.5958103,94
8260,n,27.74583432,102.4291663,2578
2105,n,32.6625002,119.0124731,19
1648,n,25.7875013,103.2624983,1949
2493,n,21.74583528,109.4291551,33
7305,n,33.12083346,104.6374961,1637
11145,n,29.07916744,120.7208037,254
13085,n,29.37083406,107.0958255,938
12047,n,28.4958342,106.4291599,965
2662,n,27.91250096,107.4291583,1258
5272,n,27.78750098,110.0124875,355
9969,n,32.91250016,104.1374969,3030
7718,n,27.82916764,110.0541541,218
17247,n,22.8708351,120.8874701,1473
13108,n,31.91250032,111.8874845,249
11292,n,24.87083478,112.0541509,486
6655,n,24.20416822,115.5958119,208
14739,n,33.82916668,107.7624911,1955
14206,n,23.57916832,116.0124779,256
13204,n,28.87083414,107.5124915,1212
7003,n,27.2458344,108.8874893,420
10692,n,32.28750026,117.5124755,53
7476,n,22.62083514,108.5124899,93
11034,n,31.32916708,109.3458219,797
2944,n,28.03750094,113.8458147,248
16659,n,31.45416706,121.1374697,8
9442,n,33.24583344,104.8458291,2243
3775,n,33.24583344,115.8458115,34
1298,n,29.5375007,120.7208037,57
4696,n,26.57916784,104.0124971,2219
9728,n,31.6208337,115.9291447,359
4689,n,31.03750046,115.6374785,285
6787,n,32.28750026,111.7624847,137
8178,n,31.2041671,107.4708249,325
12433,n,29.78750066,112.4291503,32
14038,n,26.70416782,110.2208205,871
2245,n,25.24583472,108.0958239,528
17359,n,24.3291682,104.2208301,1637
11084,n,30.91250048,105.9708273,384
19834,n,32.99583348,103.0124987,3629
468,n,28.78750082,111.2208189,82
15427,n,31.70416702,115.0958127,210
4798,n,23.03750174,102.3041665,1566
1926,n,23.37083502,108.3041569,129
16178,n,31.57916704,103.5958311,3208
6630,n,23.12083506,120.6791371,511
3715,n,28.7041675,118.8041401,352
1042,n,29.24583408,111.9708177,25
14882,n,26.70416782,109.2208221,451
8633,n,24.1208349,115.3874789,308
2744,n,33.9125,117.5124755,19
2027,n,27.8708343,112.3041505,125
15132,n,32.37083358,114.8458131,37
13999,n,33.87083334,111.6791515,1385
18303,n,24.1208349,116.1791443,683
6579,n,27.82916764,118.5958071,541
17664,n,31.91250032,113.4708153,131
3684,n,23.62083498,117.3458091,41
4320,n,26.24583456,103.5124979,2514
18220,n,30.9958338,109.9708209,1031
2816,n,31.66250036,119.8041385,1
14026,n,30.49583388,113.1791491,30
8100,n,25.70416798,113.5124819,395
13860,n,29.45416738,104.8041625,458
37110,n,29.41250072,110.4708201,932
12492,n,26.2041679,103.5541645,2246
7901,n,23.37083502,114.3458139,74
2847,n,32.53750022,107.0541589,1506
1461,n,27.53750102,109.6791547,550
10961,n,25.32916804,111.6374849,235
43,n,28.53750086,105.0958287,437
8853,n,32.62083354,106.2624935,1542
4155,n,30.32916724,114.6374801,17
10426,n,23.41250168,116.4708105,25
155,n,26.16250124,111.5124851,145
2809,n,27.99583428,102.4708329,2873
6084,n,23.2875017,111.7208181,122
1514,n,27.99583428,112.3458171,154
11769,n,32.53750022,110.0541541,1067
9827,n,24.66250148,118.5124739,9
13816,n,32.78750018,103.0958319,3690
9452,n,32.49583356,111.5541517,106
6024,n,27.78750098,116.3874773,64
6001,n,33.24583344,114.5958135,41
18797,n,31.16250044,111.6374849,240
9952,n,27.49583436,109.0124891,776
7417,n,31.70416702,104.3874965,1071
5532,n,31.37083374,113.3041489,112
10182,n,28.7041675,117.3874757,268
8918,n,31.2041671,105.0958287,465
10289,n,30.28750058,117.4708089,412
1723,n,31.07916712,120.2624711,8
7135,n,32.37083358,118.1791411,57
5928,n,21.87083526,109.9291543,100
5651,n,31.2041671,102.7208325,4486
120100,n,24.1208349,113.1791491,81
2720,n,33.57916672,117.9291415,24
1857,n,24.9541681,104.8874957,1410
11478,n,32.32916692,106.6374929,845
5367,n,31.37083374,104.3874965,562
13172,n,26.4125012,104.6791627,1415
2235,n,28.41250088,112.2208173,145
2044,n,28.62083418,107.5958247,1001
4694,n,25.45416802,109.9291543,752
5905,n,32.2458336,116.9708097,48
9840,n,28.87083414,110.8874861,328
8563,n,24.5375015,108.5124899,301
4385,n,23.7041683,108.5958231,312
2625,n,23.82916828,104.3874965,1581
4263,n,24.16250156,108.1374905,610
4262,n,31.28750042,110.3458203,955
17624,n,30.62083386,121.0958031,6
3131,n,31.03750046,117.2624759,20
17096,n,22.91250176,113.1374825,9
7509,n,25.95416794,113.7624815,884
3407,n,31.57916704,115.0541461,548
14958,n,31.4125004,112.0124843,261
17595,n,30.62083386,107.0958255,366
17856,n,33.57916672,110.8874861,793
18227,n,26.74583448,115.6791451,300
3312,n,32.53750022,115.2208125,60
9028,n,22.2458352,110.5958199,92
11875,n,24.41250152,115.5541453,337
4450,n,25.07916808,105.6791611,1264
4091,n,25.9958346,111.0124859,173
11711,n,24.07916824,111.8458179,321
30910,n,24.99583476,104.4291631,1529
2256,n,32.41250024,118.2624743,33
5917,n,29.03750078,117.0958095,35
3263,n,22.20416854,109.5958215,91
868,n,25.66250132,104.4708297,2047
19880,n,30.74583384,113.0958159,34
4979,n,24.24583488,116.3041441,885
1880,n,29.99583396,115.6791451,23
17392,n,33.03750014,108.5124899,721
10679,n,32.70416686,111.1374857,119
12440,n,23.495835,107.6791579,309
1964,n,30.5791672,105.3874949,376
1300,n,33.12083346,114.2208141,36
8422,n,31.99583364,114.0958143,142
10348,n,26.78750114,105.2624951,1866
674,n,30.07916728,106.6374929,947
13259,n,30.53750054,109.4708217,1014
5830,n,32.41250024,113.9708145,90
2942,n,28.99583412,121.5124691,72
6935,n,29.41250072,111.7624847,51
3295,n,26.07916792,119.5541389,87
9702,n,24.91250144,113.9708145,494
10125,n,29.57916736,107.3041585,688
17278,n,23.41250168,103.8458307,2038
9412,n,31.16250044,106.0541605,376
4216,n,29.03750078,114.2624807,137
512,n,25.95416794,104.1374969,2150
2204,n,27.82916764,103.3041649,2163
15539,n,28.41250088,115.4708121,27
18836,n,22.78750178,107.9708241,77
8424,n,28.32916756,115.8041449,25
4469,n,30.62083386,104.0958303,501
18281,n,26.87083446,119.4708057,131
10970,n,23.87083494,107.6374913,693
12764,n,22.99583508,103.9291639,867
16414,n,23.9125016,114.5124803,124
19123,n,23.41250168,104.1791635,1393
5184,n,30.20416726,114.5958135,7
11545,n,33.66250004,110.6374865,731
13751,n,32.8708335,107.4708249,972
4023,n,28.03750094,106.5958263,714
8551,n,27.82916764,111.0124859,1046
4651,n,32.70416686,114.4708137,57
8135,n,30.62083386,109.8458211,858
16551,n,26.32916788,114.1791475,618
16431,n,32.20416694,112.3874837,92
15272,n,31.53750038,118.5958071,4
14062,n,23.0791684,109.2208221,239
8976,n,23.66250164,103.9708305,1460
7229,n,25.20416806,113.7208149,236
2635,n,25.3708347,107.8874909,852
81000,n,26.24583456,109.3041553,876
12436,n,28.4958342,120.6374705,611
842,n,21.70416862,110.9291527,29
13035,n,25.62083466,104.1791635,2255
8363,n,24.78750146,105.2208285,906
15743,n,31.87083366,108.0958239,868
413,n,31.4125004,114.6374801,75
5410,n,27.62083434,111.2208189,643
3907,n,28.66250084,113.7624815,118
11109,n,30.24583392,104.5958295,423
16791,n,29.16250076,119.0124731,77
12920,n,26.37083454,117.5541421,428
19831,n,31.95416698,117.5541421,30
14556,n,26.74583448,104.8041625,1899
7763,n,27.07916776,115.3041457,151
563,n,23.53750166,114.7208133,28
2326,n,28.87083414,114.8874797,1241
19773,n,33.7041667,106.8041593,1758
4811,n,28.03750094,116.5958103,75
2090,n,31.6208337,109.7208213,1499
2819,n,32.74583352,109.1374889,498
6681,n,27.99583428,115.2624791,41
7389,n,21.78750194,110.4291535,61
3432,n,23.57916832,108.3458235,500
13087,n,28.74583416,112.1791507,81
2257,n,29.20416742,112.2208173,32
5086,n,31.37083374,107.4708249,653
7816,n,31.45416706,105.9291607,453
17459,n,26.12083458,118.8458067,375
9248,n,29.9541673,114.5124803,37
2851,n,27.74583432,112.0958175,117
8646,n,31.70416702,103.9291639,2397
2344,n,27.62083434,113.2624823,74
13803,n,32.16250028,107.0541589,863
10797,n,26.45416786,105.2208285,1634
6096,n,30.95416714,104.9708289,441
18526,n,31.57916704,113.1374825,202
908,n,23.37083502,104.6374961,1395
2069,n,25.07916808,109.5958215,527
9876,n,24.45416818,116.5124771,156
28,n,31.12083378,102.2208333,3918
5658,n,28.24583424,112.6374833,72
10350,n,30.95416714,104.0124971,566
187,n,23.87083494,121.1791363,2851
769,n,33.24583344,119.0958063,5
10587,n,32.91250016,118.3458075,63
1036,n,30.9958338,109.3041553,193
9890,n,31.87083366,119.1374729,4
4245,n,32.16250028,117.6374753,61
7230,n,33.03750014,118.3041409,13
841,n,30.07916728,103.9708305,486
3068,n,32.74583352,105.0124955,1661
